Name,RA_Simbad,DEC_Simbad
V792 Cyg,19 31 00.9857327945,+33 47 03.845629267
V794 Aql,20 17 33.9157230491,-03 39 50.961851201
V795 Cyg,19 34 34.0869964830,+31 32 11.967188210
V795 Her,17 12 56.1686428004,+33 31 19.239210099
V803 Cen,13 23 44.5334901172,-41 44 29.260966080
V811 Cyg,19 48 23.3016955907,+36 26 23.250631916
V823 Cyg,20 01 49.27        ,+36 07 24.5        
V825 Her,17 18 36.9999402002,+41 15 51.154423343
V825 Sco,17 49 53.7847133400,-33 32 13.021331674
V834 Cen,14 09 07.2853539143,-45 17 16.015131476
V838 Her,18 46 31.56        ,+12 14 00.7        
V841 Oph,16 59 30.3745002409,-12 53 27.137639551
V842 Cen,14 35 52.5682041151,-57 37 35.390187763
V844 Her,16 25 01.7474119287,+39 09 26.360781273
V849 Her,16 35 45.7199867698,+11 24 58.064322017
V849 Oph,18 14 07.17        ,+11 36 42.7        
V877 Ara,17 16 52.7711725151,-65 32 47.484884396
V884 Her,18 02 06.4847972931,+18 04 43.840285332
V893 Sco,16 15 14.9806097394,-28 37 32.113976203
V895 Cen,14 29 27.1968999776,-38 04 09.582441495
V909 Sgr,18 25 52.3         ,-35 01 27          
V972 Oph,17 34 44.448       ,-28 10 35.39       
V992 Sco,17 07 17.4571808314,-43 15 21.903522688
V999 Sgr,18 00 05.59        ,-27 33 14.0        
VV Pup,08 15 06.8010742098,-19 03 17.765651066
VW CrB,16 00 03.6982650796,+33 11 14.245936843
VW Hyi,04 09 11.3966476826,-71 17 41.555169342
VW Vul,20 57 45.0623349495,+25 30 25.695835880
VX For,03 26 45.71        ,-34 26 25.2        
VY Aqr,21 12 09.2516769018,-08 49 36.776018749
VY For,03 32 04.6047173996,-25 56 55.056342110
VY Scl,23 29 00.4711137193,-29 46 45.980626470
VZ Aqr,21 30 24.6233346783,-02 59 17.617339655
VZ Pyx,08 59 19.8386846907,-24 28 55.256214912
VZ Scl,23 50 09.2550905092,-26 22 52.701879982
WW Cet,00 11 24.7725920913,-11 28 43.204274910
WW Hor,02 36 11.45        ,-52 19 13.5        
WX Ari,02 47 36.2221981356,+10 35 37.723110379
WX Cen,13 12 52.3763099360,-63 23 45.850925314
WX Cet,01 17 04.17        ,-17 56 23.0        
WX Hyi,02 09 50.8239743875,-63 18 39.830688329
WX LMi,10 26 27.4935083792,+38 45 02.654772807
WX Pyx,08 33 05.7636195407,-22 48 31.980759704
WY Sge,19 32 43.819       ,+17 44 55.86       
WY Tri,02 25 00.47        ,+32 59 55.8        
WZ Sge,20 07 36.5036203067,+17 42 14.733657651
X Leo,09 51 01.4656610861,+11 52 31.249937999
X Ser,16 19 17.6862905727,-02 29 29.527844354
XX Tau,05 19 24.467       ,+16 43 01.02       
XY Ari,02 56 08.185       ,+19 26 34.12       
XZ Eri,04 11 25.76        ,-15 23 24.3        
YZ Cnc,08 10 56.6513272947,+28 08 33.259393864
Z Cam,08 25 13.1988897787,+73 06 39.284432670
Z Cha,08 07 27.7421647579,-76 32 00.679589237
AP CrB                                                           ,15 54 12.3454788903,+27 21 52.288656834
AR Pic                                                           ,05 49 45.4109090575,-49 21 56.300586603
AX For                                                           ,02 19 27.9953475569,-30 45 45.819085100
AY For                                        ,02 42 34.8         ,-28 02 43          
BB Ari                                                           ,02 44 57.7772421826,+27 31 09.180502936
BC Dor                                                           ,05 46 14.9654006956,-68 35 23.810406150
BG Ari                                                           ,01 51 51.8724366873,+14 00 47.172031083
BM CrB                                                           ,15 41 04.6699788248,+36 02 52.842874783
BS Tri                                                           ,02 09 29.8097438682,+28 32 29.148038102
BT CrB                                                           ,15 56 56.9256814624,+35 23 36.657085987
CS Ind                                                           ,21 59 54.5576692988,-68 50 36.635901722
CW Hyi                                                           ,02 30 51.1492190239,-68 42 05.439635529
DI Phe                                        ,23 54 20.4         ,-47 00 20          
DT Oct                                                           ,18 40 52.4027422049,-83 43 09.999523837
DT Pyx                                           ,09 18 58.50        ,-29 42 37.0        
EG Lyn                                           ,08 20 50.97        ,+49 34 31.3        
EQ Lyn                                                           ,07 45 31.9386690165,+45 38 29.743181853
EU Lyn                                                           ,07 52 40.4514761660,+36 28 23.199330756
EV Lyn                                                           ,07 54 43.0104255518,+50 07 29.098229723
EZ Lyn                                                           ,08 04 34.2191501584,+51 03 49.367636054
FH Lyn                                                           ,08 13 21.9188365207,+45 28 09.273481995
FI Cet                                           ,01 51 18.59        ,-02 23 00.1        
FL Cet                                                           ,01 55 43.4035546376,+00 28 07.157100597
FL Lyn                                                           ,08 24 09.7316329684,+49 31 24.523891717
FL Psc                                                           ,00 25 11.1124409470,+12 17 12.386745725
FR Lyn                                                           ,08 54 14.0231231038,+39 05 37.359025189
FZ Cet                                        ,01 42 25.2         ,-22 15 57          
GD 552                                                           ,22 50 39.9585471609,+63 28 38.333079055
GS Cet                                                           ,00 50 50.8726917028,+00 09 12.501229661
GY Cet                                                           ,01 31 32.3909328899,-09 01 22.324528691
GZ Cet                                                           ,01 37 01.0695814391,-09 12 34.719192930
HM Cnc                                                           ,08 06 22.9519582696,+15 27 31.007381265
HM Leo                                                           ,09 38 36.9804409754,+07 14 55.125230984
HO Cet                                        ,02 33 21.4         ,-10 47 05          
HP Cet                                                           ,02 33 22.6016893265,+00 50 59.597993967
HU Leo                                                           ,09 24 44.4786024744,+08 01 51.005758948
HY Leo                                                           ,09 46 34.4705286598,+13 50 57.849294677
HY Psc                                                           ,23 03 51.6365159497,+01 06 51.166210477
IW Eri                                           ,04 25 55.24        ,-19 45 30.1        
KY Eri                                             ,03 10 51.666       ,-07 55 00.29       
V704 And                                                           ,23 44 57.5113958238,+43 31 22.263672873
LT Eri                                                           ,04 07 14.7816713667,-06 44 25.164770630
LV Cnc                                                           ,09 19 45.1186719328,+08 57 10.093562334
LY UMa                                                           ,10 48 18.0061204292,+52 18 29.800872750
Lanning 386                                           ,21 08 34.03        ,+39 05 35.3        
Lanning 420                                           ,22 02 43.10        ,+59 03 20.5        
MQ D058                                                           ,A: 15 53 31.1194029,+55 16 14.478728017
MR UMa                                                           ,11 31 22.3981948680,+43 22 38.477897657
MT Com                                           ,12 55 10.65        ,+26 42 26.3        
MT Dra                                                           ,A: 18 46 58.7963755,+55 38 28.765596114
MU Cam                                                           ,06 25 16.2520524762,+73 34 39.104874988
CRTS J233848.7+281955                                                           ,23 38 48.6784997003,+28 19 54.998855964
PB   195                                                           ,10 23 20.2784770865,+44 05 09.857060154
NY Lup                                                           ,15 48 14.5960047636,-45 28 39.918343697
NZ Boo                                                           ,15 02 41.0004962586,+33 34 24.003688271
OV Boo                                                           ,15 07 22.3705926422,+52 30 39.807033923
OV D313                                                           ,A: 12 50 23.8541133,+66 55 25.475121796
OZ D784                                                           ,A: 13 27 23.3832700,+65 28 54.312174230
PU UMa                                                           ,09 01 03.9388708186,+48 09 11.066389137
PZ Vir                                                           ,13 24 11.5588595574,+03 20 50.504327335
QT Aqr                                                           ,20 59 14.8733910004,-06 12 20.458742008
SDSS J210014.12+004446.0                                                           ,21 00 14.1123694519,+00 44 46.000484188
QV Aqr                                                           ,21 04 49.9442974745,+01 05 45.764989070
QZ Lib                                                           ,15 36 15.9750548965,-08 39 07.534277461
QZ Vir                                                           ,11 38 26.8240425768,+03 22 07.110214355
V1033 Cas                                                           ,00 22 57.6446745715,+61 41 07.570544184
V1084 Her                                                           ,16 43 45.6973087857,+34 02 39.545024426
V1108 Her                                                 ,18 39 26.19216     ,+26 04 08.7852     
V1189 Her                                                           ,16 29 36.5308448913,+26 35 19.632572114
SDSS J165359.06+201010.4                                                           ,16 53 59.0600699773,+20 10 10.403929945
V1229 Her                                                           ,16 56 58.1247153044,+21 21 39.379591490
V1237 Her                                                           ,17 00 53.2967506721,+40 03 57.807475785
V1239 Her                                                           ,17 02 13.2466307450,+32 29 54.158773442
V1258 Cen                                                           ,13 00 29.0622260014,-30 52 56.953193443
V1294 Tau                                                           ,04 00 37.2550232837,+06 22 45.917064376
V1323 Her                                                           ,18 03 39.6643567211,+40 12 20.266605309
V2690 Oph                                                           ,16 37 22.2133481034,-00 19 57.117918200
V2731 Oph                                           ,17 30 21.50        ,-05 59 33.5        
V342 Cam                                                           ,04 23 32.8345501088,+74 52 50.037845263
V351 UMa                                                           ,12 44 26.2805176238,+61 35 14.611851159
V355 UMa                                                           ,13 39 41.1393945102,+48 47 27.466656359
V358 Aqr                                                           ,23 16 03.6189820807,-05 27 08.916249824
V386 Ser                                                           ,16 10 33.6288972865,-01 02 23.209951458
V391 Cam                                                           ,05 32 33.8649195608,+62 47 52.125642480
V405 Peg                                                           ,23 09 49.1426536138,+21 35 17.176816858
V406 Hya                                                           ,09 05 54.7498123851,-05 36 08.482127031
V406 Vir                                                           ,12 38 13.7338474960,-03 39 32.965693473
V418 Gem                                                           ,07 04 08.6690661945,+26 25 10.767757487
V418 Ser                                                           ,15 14 53.6390660167,+02 09 34.601784845
V434 Gem                                                           ,07 48 13.5314790521,+29 05 09.080036744
V453 Nor                                           ,16 00 47.43        ,-48 46 07.6        
V455 And                                                           ,23 34 01.4485468687,+39 21 40.866526351
V479 And                                                           ,00 18 56.9330180725,+34 54 44.233190974
V482 Cam                                                           ,07 33 41.4125399360,+67 32 15.629885096
V489 Ser                                                           ,15 55 31.9965141790,-00 10 55.061446376
V493 Ser                                                           ,15 56 44.2353190604,-00 09 50.215538264
V495 Hya                                                           ,08 44 00.0999462325,+02 39 19.342163373
V498 Vul                                             ,19 59 51.283       ,+22 42 32.13       
V519 Ser                                                           ,16 10 07.5050782337,+03 52 32.770289185
V521 Peg                                                           ,22 21 44.7931141813,+18 40 08.200211087
V524 Hya                                                           ,09 20 09.5447841303,+00 42 44.929595126
V558 Vir                                                           ,14 27 01.5904311460,-01 23 10.224938451
V5627 Sgr                                                           ,18 01 56.2568387747,-27 22 56.161533028
V572 And                                           ,02 22 16.40        ,+41 22 59.9        
V598 Peg                                                           ,23 33 25.9215015296,+15 22 22.156064002
V647 Aur                                        ,06 36 32.5         ,+35 35 43          
V654 Aur                                                           ,07 29 10.6854718145,+36 58 38.246414854
V713 Cep                                                           ,20 46 38.6772465985,+60 38 03.102358008
V728 C849                                                           ,A: 17 59 16.5024282,-42 35 06.685682151
VV Equ                                             ,21 16 05.436       ,+11 34 07.29       
VZ Sex                                                           ,09 44 31.6824200550,+03 58 05.308838856
J1039.7-0507                                                           ,10 39 46.9916449426,-05 06 58.312159372
YZ LMi                             ,09 26 38.7243250350,+36 24 02.463164875
AX J1832.3-0840,18 32 19.3118731287,-08 40 30.249335406
2XMM J003941.0+005427                                                            ,00 39 41.0682701952,+00 54 27.693835520
2SLAQ J004335.13-003729.7                                                            ,00 43 35.1341063056,-00 37 29.852591323
V* V744 And                                                            ,01 29 40.0646985004,+38 42 10.442374016
RX J0153.3+7446                                                            ,01 53 21.0107193369,+74 46 22.017412363
RX J0154.0-5947                                                            ,01 54 00.9316334950,-59 47 49.095341966
2MASS J03541032-1652499                                                            ,03 54 10.3094205046,-16 52 50.035258866
RX J0425.6-5714                                                            ,04 25 38.6075199684,-57 14 36.210122720
NAME Paloma                                                            ,05 24 30.4642271134,+42 44 50.461233137
RX J0649.8-0737                                                            ,06 49 50.9207107367,-07 37 40.884089066
2MASS J07381772+2855198                                                            ,07 38 17.7420530768,+28 55 19.725068801
CRTS J074640.6+173412                                                            ,07 46 40.6201925625,+17 34 12.804051705
RX J0749.1-0549                                                            ,07 49 10.4005922206,-05 49 25.454295289
SDSS J075939.79+191417.3                                                            ,07 59 39.7852238802,+19 14 17.253277417
CRTS J080304.0+251628                                                            ,08 03 03.9047463572,+25 16 26.965288678
2MASS J08084617+3131060                                                            ,08 08 46.1919353816,+31 31 05.975366719
HS 0805+3822                                                            ,08 09 08.3947719363,+38 14 06.205726674
2MASS J08125686+1911579                                                            ,08 12 56.8553628239,+19 11 57.850155371
2MASS J08135201+2813174                                                            ,08 13 52.0201694679,+28 13 17.306979394
SDSS J081610.84+453010.2                                                            ,08 16 10.8307314609,+45 30 10.153132163
SDSS J083751.00+383012.5                                                            ,08 37 51.0095164361,+38 30 12.602634939
CRTS J083845.2+491055                                                            ,08 38 45.2311912417,+49 10 55.359053445
SDSS J083931.35+282824.0                                                            ,08 39 31.3501118388,+28 28 24.129672850
RX J0859.1+0537                                                            ,08 59 09.1822368473,+05 36 54.593134878
US 2109                                                            ,09 00 16.5562070547,+43 01 18.208328066
SDSS J090350.72+330036.1                                                            ,09 03 50.7257811462,+33 00 36.110240022
SDSS J090403.49+035501.2                                                            ,09 04 03.4823723892,+03 55 01.263363222
SDSS J091127.36+084140.8                                                            ,09 11 27.3580054409,+08 41 40.828381212
SDSS J092229.26+330743.6                                                            ,09 22 29.2584761465,+33 07 43.557757662
US  691                                                            ,09 32 49.5713658688,+47 25 22.831369981
RX J0953.1+1458                                                            ,09 53 08.2017555838,+14 58 36.451478681
1RXS J100211.4-192534                                            ,10 02 11.71        ,-19 25 37.5        
RX J1007.5-2017                                                            ,10 07 34.6534874108,-20 17 32.448845919
USNO-A2.0 1350-07734381                                                            ,10 13 23.6381611816,+45 58 58.890587883
ASAS J102522-1542.4                                            ,10 25 22.21        ,-15 42 21.7        
SDSS J103533.02+055158.4                                                            ,10 35 33.0223106272,+05 51 58.347085513
LP  731-60                                                            ,10 50 10.8033679538,-14 04 36.759700652
CRTS J110014.7+131552                                                            ,11 00 14.7206407587,+13 15 52.208802839
2QZ J112555.7-001638                                                            ,11 25 55.7112156192,-00 16 38.556755980
SDSS J113215.50+624900.4                                                            ,11 32 15.5088854752,+62 49 00.475055654
1SDSS J114628.80+675909.7                                                            ,11 46 28.8054236400,+67 59 09.625428467
SDSS J120231.01+450349.1                                                            ,12 02 31.0104237164,+45 03 49.096534119
SDSS J121607.03+052013.9                                                            ,12 16 07.0386994174,+05 20 13.946943347
SDSS J122740.82+513925.0                                                            ,12 27 40.8195380624,+51 39 24.963686611
2QZ J124058.0-015920                                                            ,12 40 58.0261678020,-01 59 19.186253289
2QZ J130441.7+010330                                                            ,13 04 41.7661982998,+01 03 30.812216089
SDSS J141118.31+481257.6                                                            ,14 11 18.3211338976,+48 12 57.515403663
SGT2004 J141312.24-652014.0                                            ,14 13 12.24        ,-65 20 14.0        
PCV2006 ULX 42                                            ,14 13 12.24        ,-65 20 14.0        
2QZ J142256.3-022108                                                            ,14 22 56.3146804079,-02 21 07.986695458
2QZ J142438.9-022739                                            ,14 24 38.94        ,-02 27 39.3        
SDSS J142955.86+414516.8                                              ,14 29 55.864       ,+41 45 16.87       
2XMM J144659.9+025330                                                            ,14 46 59.9560027151,+02 53 30.393367784
USNO-A2.0 1350-08528489                                                            ,14 57 58.2258004039,+51 48 07.852947463
SDSS J150137.22+550123.4                                                            ,15 01 37.2166022131,+55 01 23.285304922
EQ 1502+09                                                            ,15 04 41.7658494079,+08 47 52.567883342
CRTS J153634.4+332852                                                            ,15 36 34.4248463430,+33 28 51.893099892
SDSS J153817.33+512338.0                                                            ,15 38 17.3353623540,+51 23 37.978008677
SDSS J155252.48+320150.9                                                            ,15 52 52.4801964755,+32 01 51.018437025
CRTS J162830.8+240259                                                            ,16 28 30.8950821580,+24 02 59.117771421
SDSS J165837.70+184727.4                                                            ,16 58 37.7052257920,+18 47 27.328791058
2MASS J16595166+1927454                                                            ,16 59 51.6843916626,+19 27 45.608128322
SDSS J173008.38+624754.7                                                            ,17 30 08.3651485241,+62 47 54.671348581
RX J1745.5-2905                                            ,17 45 32.79        ,-29 05 52.3        
OGLE J180507.09-274309.2                                            ,18 05 07.07        ,-27 43 09.0        
NAME COM Star1                                              ,18 23 40.803       ,-30 21 34.90       
Cl* NGC 6624     SC       1                                              ,18 23 40.914       ,-30 21 36.36       
ALMA J182340.892-302138.56                                                ,18 23 40.8936      ,-30 21 38.571      
ALMA J182341.1181-302135.733                                                ,18 23 41.1181      ,-30 21 35.733      
