Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
EQ CMa, 06 48 51.6, -16 18 03, DN,   , 16.13, 2.563870, 3682.09, 861.86, 1611.33
HV Cet, 03 05 58.5, +05 47 14, Na, DN, 12.59, 1.996803, 442.25, 13.25, 14.47
V5589 Sgr, 17 45 28.0, -23 05 23, DN, UG, 16.40, 1.680000, 2372.79, 646.10, 1350.98
V2674 Oph, 17 26 32.1, -28 49 39, Nb,   , 17.11, 1.480000, 3982.30, 1702.78, 3865.36
J1805-3154, 18 05 25.4, -31 54 05, Na,   , 19.26, 1.302100, 3092.66, 1991.89, 4709.29
N LMC 2009a, 05 40 44.2, -66 40 12, Nr,   , 18.17, 1.230547, -2.84, 0.01, 0.02
CAL 83, 05 43 34.2, -68 22 22, DN,   , 11.37, 1.109099, 3561.15, 1049.66, 2182.86
V1129 Cen, 12 39 07.9, -45 33 44, Na,   , 19.68, 0.944000, 3077.10, 1857.91, 4558.78
J0032-7420, 00 32 55.1, -74 20 20, NL, VY, 14.07, 0.867520, 670.89, 19.99, 21.21
J1714+5851, 17 14 56.8, +58 51 28, N , EG,  nan, 0.850000, nan, nan, nan
J0454-7026, 04 54 56.9, -70 26 56, Na,   ,  nan, 0.822812, nan, nan, nan
J0513-6951, 05 13 50.8, -69 51 48, NL,   , 18.76, 0.780600, 4597.23, 2200.56, 4418.99
J1414-6516, 14 14 30.1, -65 16 23, SS,   , 16.95, 0.762956, -10.75, 0.02, 0.02
J1509-2147, 15 09 46.6, -21 47 46, NL, IP,  nan, 0.743000, nan, nan, nan
J1930+0530, 19 30 50.8, +05 30 58, DN, UG, 12.77, 0.611179, 366.80, 9.01, 9.55
CAL 87, 05 46 48.3, -71 09 24, NL,   , 11.37, 0.450000, 590.28, 20.97, 22.06
J1755-2816, 17 55 53.3, -28 16 34, DN, UG, 14.78, 0.440502, 598.81, 13.42, 15.38
J1051-6127, 10 51 36.7, -51 27 39, CV,   , 16.21, 0.431035, 905.27, 86.30, 107.10
V537 Peg, 22 43 40.7, +30 55 20, DN, UG, 18.90, 0.426916, -4.29, 0.02, 0.02
J0043+4113, 00 43 20.0, +41 13 46, NL, IP, 14.33, 0.411000, 1278.19, 67.69, 78.16
J1756-2748, 17 56 07.3, -27 48 48, N , IP,  nan, 0.409500, nan, nan, nan
J0527-6954, 05 27 48.9, -69 54 09, DN,   ,  nan, 0.397460, nan, nan, nan
J0746-1611, 07 46 17.1, -16 11 28, SS,   ,  nan, 0.392600, nan, nan, nan
J0629-0335, 06 29 54.6, -03 35 21, DN, ZC, 12.56, 0.382375, 448.81, 13.68, 15.11
IU Leo, 10 57 56.3, +09 23 14, DN,   ,  nan, 0.380000, nan, nan, nan
J0647+4950, 06 47 29.3, +49 50 27, DN, UG, 12.27, 0.374600, 276.67, 5.77, 5.97
J1151-6237, 11 51 13.0, -62 37 29, DN,   , 16.42, 0.371500, 1084.76, 120.71, 153.54
J1749-2943, 17 49 54.6, -29 43 35, NL, UX, 12.63, 0.360000, 545.10, 27.43, 30.71
V2677 Oph, 17 39 57.0, -24 47 07, DN, UG, 15.65, 0.347237, 686.00, 32.80, 36.25
V902 Mon, 06 27 46.4, +01 48 11, DN, UG, 14.47, 0.342000, 521.86, 14.29, 14.44
J0838-4831, 08 38 49.1, -48 31 25, NL, AM, 15.63, 0.332612, 647.92, 27.41, 30.62
J0632+2536, 06 32 13.1, +25 36 23, NL, IP, 16.88, 0.330000, 2269.46, 421.82, 657.75
J0345+5335, 03 45 11.6, +53 35 15, Na, IP, 18.86, 0.314500, 4198.10, 2034.46, 4561.60
0218+3229, 02 21 33.5, +32 43 24, NL, IP, 15.09, 0.297431, 1381.44, 76.63, 86.67
J1729+2208, 17 29 51.6, +22 08 08, DN, UG, 15.61, 0.297200, 1428.16, 150.02, 193.35
V959 Mon, 06 39 38.6, +05 53 53, DN,   , 18.11, 0.297000, 1848.14, 673.24, 1858.73
J1052-6141, 10 52 11.9, -61 41 14, N ,   , 16.67, 0.295850, 5087.01, 2438.07, 4488.96
J1619+1351, 16 19 09.1, +13 51 46, DN, UG, 17.69, 0.289000, 2109.09, 701.26, 1796.11
J0902-1130, 09 02 10.2, -11 30 32, NL,   , 15.69, 0.277000, 2086.39, 411.51, 713.73
V2615 Oph, 17 42 44.0, -23 40 35, DN, UG,  nan, 0.274000, nan, nan, nan
J1039-6255, 10 39 47.8, -62 55 29, DN, UG, 14.50, 0.270880, 560.30, 15.25, 17.00
J0644+3344, 06 44 34.4, +33 44 57, DN, UG, 19.72, 0.269960, -1.19, 0.02, 0.02
V339 Del, 20 23 30.7, +20 46 04, NL, IP, 14.74, 0.268100, 1138.56, 75.28, 83.63
J1543+7515, 15 43 36.7, +75 15 41, Na,   , 18.06, 0.267000, -8.78, 0.02, 0.01
J0457+4527, 04 57 08.3, +45 27 50, DN, ZC, 12.83, 0.258116, 324.47, 5.50, 5.36
J1931+4559, 19 31 29.2, +45 59 06, N , NL, 19.67, 0.255800, -1.30, 0.01, 0.02
J1224-4101, 12 24 43.3, -41 01 59, NL, DN, 12.74, 0.254400, 351.71, 4.40, 4.24
J1544+2553, 15 44 53.6, +25 53 49, NL, IP,  nan, 0.252697, nan, nan, nan
J1509-6649, 15 09 26.0, -66 49 23, DN, UG, 17.11, 0.246750, 1490.12, 289.60, 426.31
J1740-2903, 17 40 16.1, -29 03 38, DN, UG, 17.46, 0.239100, 1253.54, 194.09, 282.75
J0518+2941, 05 18 14.3, +29 41 13, NL, IP, 15.62, 0.238300, 924.89, 43.17, 47.45
J0742-1049, 07 42 08.2, -10 49 32, DN, UG, 16.90, 0.238000, 1333.10, 246.17, 365.90
J1744-2603, 17 44 44.8, -26 03 30,   ,   , 16.15, 0.237800, 520.79, 25.19, 27.80
V667 Pup, 07 32 37.7, -13 31 08, DN, UG, 17.96, 0.234000, 835.56, 171.22, 255.22
J0805+0720, 08 05 34.5, +07 20 29, NL, IP, 17.07, 0.230700, 1785.52, 363.24, 584.08
J1753-2917, 17 53 18.7, -29 17 17, Nb,   , 18.15, 0.225000, 4049.45, 1736.30, 4042.10
J1830-1232, 18 30 49.9, -12 32 19, DN, SH,  nan, 0.224980, nan, nan, nan
NR TrA, 16 18 48.2, -60 27 49, CV,   ,  nan, 0.220000, nan, nan, nan
N LMC 1995, 05 26 50.3, -70 01 24, N ,   , 16.75, 0.219000, 4556.59, 1556.43, 3176.89
V5588 Sgr, 18 10 21.4, -23 05 30, DN, UG, 18.32, 0.214600, 1902.04, 1031.96, 3965.17
J1759-2624, 17 59 11.7, -26 24 40, GC,   ,  nan, 0.213000, nan, nan, nan
J1616-4958, 16 16 37.8, -49 58 45, DN,   , 17.79, 0.209370, 892.15, 168.11, 244.00
2205+0201, 22 08 07.5, +02 16 20, NL, IP, 16.30, 0.208500, 1660.21, 269.92, 380.92
J2138+2638, 21 38 05.0, +26 38 20, Nb,   , 15.15, 0.204378, 883.84, 61.11, 70.46
J1822-2956, 18 22 16.2, -29 56 40, NL, UX,  nan, 0.198096, nan, nan, nan
LS IV -08 3, 16 56 29.6, -08 34 39, NL, VY, 17.40, 0.195730, 1041.19, 162.52, 241.10
2325+8205, 23 26 50.5, +82 22 11, NL, AM, 11.06, 0.194490, -9.96, 0.01, 0.01
J1814-2847, 18 14 33.0, -28 47 35, DN, ZC, 16.32, 0.194335, 466.37, 12.80, 14.17
J0107+4845, 01 07 42.8, +48 45 19, Na, DQ, 15.23, 0.193621, 500.27, 9.14, 10.42
J1745-3746, 17 45 15.6, -37 46 28, DN, UG, 15.92, 0.191500, 716.73, 61.55, 70.75
V416 Dra, 18 57 20.4, +71 31 19, NL, UX,  nan, 0.189915, nan, nan, nan
J0944-5617, 09 44 09.4, -56 17 11, DN, UG,  nan, 0.188640, nan, nan, nan
J1006+2337, 10 06 58.4, +23 37 24, CV, DN, 19.97, 0.186444, 618.53, 237.00, 1488.87
J1959+5625, 19 59 19.4, +56 25 21, NL, AM, 17.30, 0.183000, 622.66, 60.27, 71.83
J1810-3052, 18 10 46.6, -30 52 32, NL, AM, 17.35, 0.182970, 186.50, 5.00, 5.52
V513 Peg, 22 16 31.2, +29 00 21, DN, UG, 14.86, 0.179301, 336.29, 6.04, 6.35
J1806-2907, 18 06 24.4, -29 07 45, Na,   , 19.85, 0.179000, -2.54, 0.02, 0.02
J1037-6249, 10 37 28.4, -62 49 29, NL, UX, 18.30, 0.178432, -142.63, 0.02, 0.01
J1754-3157, 17 54 32.5, -31 57 52, CV,   ,  nan, 0.176400, nan, nan, nan
J0035+4623, 00 35 35.7, +46 23 53, NL, IP, 13.95, 0.172620, 675.87, 22.06, 22.67
0035-7230, 00 37 19.8, -72 14 14, DN,   , 16.23, 0.172275, 474.50, 19.17, 21.35
J2216+4646, 22 16 50.3, +46 46 41, DN, UG, 16.16, 0.171900, 586.60, 29.82, 30.33
J0927-3910, 09 27 51.9, -39 10 52, DN,   , 12.69, 0.170000, -13.36, 0.02, 0.02
J1856+4537, 18 56 08.1, +45 37 40,   ,   , 16.47, 0.170000, 1844.33, 276.42, 382.37
J1758-3119, 17 58 54.1, -31 19 01, DN, ZC, 15.52, 0.168700, 542.46, 21.63, 22.51
J1923+6124, 19 23 28.3, +61 24 13, Nc,   , 18.69, 0.167762, 4100.15, 2217.69, 4260.72
J1753-2134, 17 53 26.4, -21 34 05,   ,   , 18.53, 0.167700, 2628.49, 987.42, 2601.20
J1831+6511, 18 31 44.5, +65 11 32, NL, UX,  nan, 0.167116, nan, nan, nan
J1719-4100, 17 19 35.9, -41 00 54, DN,   , 16.40, 0.167000, 815.09, 39.38, 43.53
J1927+4447, 19 27 48.5, +44 47 25, DN, IP, 15.16, 0.165374, 197.72, 1.93, 1.99
J2200+0334, 22 00 31.2, +03 34 30, NL, UX, 14.01, 0.165001, 818.69, 41.44, 47.11
J1305-5755, 13 05 59.5, -57 55 00, NL, UX, 13.58, 0.163805, 256.22, 8.23, 8.80
J0940+2749, 09 40 02.6, +27 49 42, DN, UG, 16.09, 0.163532, 313.79, 8.66, 9.34
J2152+19, 21 52 00.0, +19 00 00, DN, UG, 18.02, 0.163520, 987.10, 278.25, 698.49
J1820-2414, 18 20 38.4, -24 14 31, NL, UX, 13.97, 0.161490, 486.64, 8.03, 8.52
J1804-2659, 18 04 16.6, -26 59 10, NL, UX,  nan, 0.161329, nan, nan, nan
J1930+5157, 19 30 59.2, +51 57 36, NL, VY, 16.18, 0.160500, 950.82, 97.12, 121.06
V2467 Cyg, 20 28 12.5, +41 48 36, NL, IP, 17.93, 0.160000, 1315.05, 559.71, 2164.67
J1751-3516, 17 51 42.8, -35 16 35, DN, UG, 15.82, 0.159100, 490.19, 15.59, 16.97
J0227+1306, 02 27 32.9, +13 06 17, NL, VY, 18.15, 0.158000, 5001.61, 2102.32, 4664.06
J1040-4701, 10 40 00.0, -47 01 26, NL, AM, 17.21, 0.157799, 472.12, 28.50, 34.62
J1740-2418, 17 40 48.9, -24 18 34, NL,   , 16.22, 0.157700, 1659.71, 209.95, 289.08
J2108-0350, 21 08 46.4, -03 50 32, NL, AM,  nan, 0.157370, nan, nan, nan
J1031-4626, 10 31 35.0, -46 26 39, NL, UX, 15.47, 0.156900, 1568.46, 201.10, 291.29
V5582 Sgr, 17 45 05.4, -20 03 22, NL,   , 16.91, 0.156700, 1703.51, 266.17, 384.40
J0449-1841, 04 49 02.7, -18 41 29, DN, UG,  nan, 0.155627, nan, nan, nan
J1654-1916, 16 54 43.7, -19 16 31, DN, ZC, 15.79, 0.154800, 509.54, 42.90, 51.89
J1226-2527, 12 26 17.3, -25 27 04, NL,   , 13.74, 0.154500, 537.80, 14.65, 14.73
J1129-5355, 11 29 21.7, -53 55 44, Nb,   , 15.35, 0.153561, 1169.91, 147.97, 201.36
J1024-4826, 10 24 42.0, -48 26 43, NL, VY, 14.66, 0.153300, 653.30, 32.00, 37.52
J1649-3307, 16 49 55.6, -33 07 02, DN, UG, 15.73, 0.150974, 541.14, 31.69, 35.97
J0537-7034, 05 37 44.6, -70 33 47, Na, DQ, 15.05, 0.147000, 1210.99, 70.82, 81.43
J0942-1936, 09 42 52.3, -19 36 52, SS,   ,  nan, 0.147000, nan, nan, nan
J1220-1027, 12 20 59.8, -10 27 35, NL, SW, 14.85, 0.146353, 815.45, 43.80, 51.40
V2468 Cyg, 19 58 33.4, +29 52 07, NL, AM, 18.63, 0.145452, 546.41, 155.50, 318.10
J0756-1246, 07 56 48.9, -12 46 54, Nb, SW, 12.41, 0.145025, 511.83, 12.90, 13.07
J2255-3449, 22 55 04.2, -34 49 18, VY, SW, 14.28, 0.144464, 775.55, 22.40, 23.31
J1926+1322, 19 26 27.0, +13 22 05, NL, IP, 17.64, 0.144000, 3793.54, 1419.68, 2941.20
J0617-3626, 06 17 53.8, -36 26 55, NL, IP, 18.07, 0.143700, 1699.71, 501.35, 1220.26
J2014+1529, 20 14 24.9, +15 29 30, CV,   , 17.94, 0.143350, 1026.81, 245.58, 557.05
J0746-0934, 07 46 55.5, -09 34 31, NL, IP, 14.06, 0.142000, 716.67, 26.13, 27.86
J0439-6809, 04 39 49.7, -68 09 02, NL, AM, 19.20, 0.140400, 1344.67, 584.33, 2401.36
J1751-2934, 17 51 22.7, -29 34 36, Na, SH, 18.53, 0.140100, 2523.42, 1058.85, 3041.25
V5585 Sgr, 18 07 27.0, -29 00 44, VY, SW, 10.92, 0.137550, 257.86, 7.57, 8.20
J0229-3959, 02 29 16.9, -39 59 20, Na,   ,  nan, 0.137526, nan, nan, nan
2133+0513, 21 35 59.3, +05 27 00, NL, VY,  nan, 0.137000, nan, nan, nan
J0756+0858, 07 56 53.1, +08 58 32, NL, VY, 16.16, 0.137000, 1550.55, 431.11, 899.02
J2142-6748, 21 42 17.3, -67 48 01, NL, UX, 17.43, 0.136974, 1236.97, 197.25, 284.61
J1206+5100, 12 06 15.7, +51 00 47, NL, SW, 14.14, 0.136607, 587.77, 19.92, 21.32
J0733+2619, 07 33 46.3, +26 19 26, NL, SW, 15.23, 0.133616, 1290.54, 120.17, 142.26
J0753+0445, 07 53 30.8, +04 45 56, NL, AM, 18.16, 0.133400, 1230.13, 395.77, 1115.76
J0734-1706, 07 34 18.6, -17 06 27, NL, VY, 15.46, 0.133000, 1415.30, 165.24, 221.65
J1453-5521, 14 53 41.2, -55 21 37, NL, AM, 17.98, 0.131518, 245.68, 13.20, 14.89
J0130+6221, 01 30 31.9, +62 21 32, DN, AM, 17.93, 0.130934, 1668.46, 585.26, 1678.63
J0921-5939, 09 21 34.1, -59 39 07, DN, ZC, 15.79, 0.127000, 758.71, 36.65, 39.17
J2319+2615, 23 19 30.3, +26 15 19, Na, NL,  nan, 0.125567, nan, nan, nan
J1753-3324, 17 53 08.4, -33 24 23, NL, VY, 14.80, 0.124747, 1098.17, 95.93, 112.61
J1754-3006, 17 54 13.8, -30 06 13, NL, VY, 13.82, 0.124330, 499.37, 10.65, 11.37
J1042-6211, 10 42 02.4, -62 11 54, Na, SW, 17.18, 0.122800, 4801.60, 2002.70, 4227.27
J2250+5731, 22 50 37.0, +57 31 54, NL, VY, 18.12, 0.122000, 1648.09, 596.73, 1915.65
J1751-2933#1, 17 51 51.2, -29 33 10, NL, SW, 12.37, 0.120560, 444.62, 9.70, 9.44
J1741-2758, 17 41 42.4, -27 58 30, Na, SH, 17.52, 0.117930, 4270.77, 2048.13, 4627.87
J2102+3359, 21 02 01.4, +33 59 30, NL,   , 20.01, 0.117860, -0.41, 0.01, 0.01
J1432+1914, 14 32 09.8, +19 14 04, Na,   , 18.90, 0.117515, 1010.95, 590.04, 4165.77
J1924+4459, 19 24 10.8, +44 59 35, UX, SH, 12.65, 0.115063, 455.81, 11.36, 11.79
V515 And, 00 55 19.9, +46 12 57, NL, AM, 20.34, 0.114000, 2637.18, 2017.13, 5081.62
2114-6437, 21 18 49.9, -64 25 13, DN, SU, 16.33, 0.113000, 1652.85, 192.62, 243.05
V597 Pup, 08 16 18.0, -34 15 25, DN, UG, 16.74, 0.111220, 1351.64, 224.60, 324.96
J1721+44, 17 21 00.0, +44 00 00, DN,   , 17.21, 0.110000, 329.72, 14.30, 15.41
V2491 Cyg, 19 43 02.0, +32 19 14, N , NL, 18.14, 0.107123, 4940.77, 2132.01, 4471.38
J2039-0429, 20 39 37.7, -04 29 08, Na, IP, 17.98, 0.106700, 6255.22, 2523.95, 4786.88
J0659+2525, 06 59 21.7, +25 25 55, NL,   , 19.20, 0.104000, -10.05, 0.02, 0.02
J1627+1204, 16 27 18.5, +12 04 35, CV,   ,  nan, 0.104000, nan, nan, nan
J1908+42, 19 08 00.0, +42 00 00, DN, SU, 19.03, 0.104000, 1472.25, 533.70, 1729.11
J1340+1513, 13 40 52.1, +15 13 41, Nr,   , 18.47, 0.102600, 2289.15, 1367.77, 4404.78
J0011-0647, 00 11 53.1, -06 47 39, DN, UG, 16.27, 0.101000, 1799.56, 220.73, 284.55
J1543-5227, 15 43 05.5, -52 27 10, DN, SU, 17.91, 0.100082, 295.99, 18.16, 19.42
J1753-2921, 17 53 10.0, -29 21 21, NL, AM, 17.73, 0.100000, 3470.88, 1457.74, 3434.41
J1619+0319, 16 19 53.3, +03 19 09, DN, SU, 19.42, 0.099800, 1183.28, 372.39, 1077.84
J0648+0656, 06 48 33.5, +06 56 23, DN, SU, 17.29, 0.099040, 481.51, 24.77, 27.06
J1751-2929#2, 17 51 31.6, -29 29 56, DN, SU, 18.07, 0.099000, 336.11, 27.94, 34.86
J1128-3448, 11 28 15.4, -34 48 08, CV,   ,  nan, 0.098770, nan, nan, nan
J1830+1233, 18 30 01.8, +12 33 48, DN, SU, 18.78, 0.098500, 563.90, 93.43, 136.07
J1749+1913, 17 49 02.1, +19 13 30, NL, AM, 16.88, 0.097187, 187.41, 4.54, 4.93
J0814+0907, 08 14 08.4, +09 07 59, DN, SU, 19.38, 0.097000, 3469.54, 2098.36, 4561.60
V444 Peg, 21 37 01.8, +07 14 46, DN, SU, 16.79, 0.095000, 764.23, 57.00, 67.24
J1425+1515, 14 25 48.1, +15 15 01, DN, SU, 18.64, 0.094700, 419.71, 59.36, 83.50
KT Eri, 04 47 54.2, -10 10 43, DN, SU,  nan, 0.093900, nan, nan, nan
J0038+2509, 00 38 27.0, +25 09 25, Na, Nr, 14.82, 0.093800, 4992.16, 1170.27, 2027.48
J0750+1411, 07 51 00.0, +14 11 50, DN, SU, 18.79, 0.093800, 531.42, 128.64, 228.57
J0153+3408, 01 53 21.5, +34 08 56, NL, AM, 17.74, 0.093100, 526.90, 41.28, 52.25
J1200-1526, 12 00 52.9, -15 26 21, DN, SU, 20.32, 0.093000, 3205.72, 2311.53, 4818.36
J2147+2445, 21 47 38.4, +24 45 54, NL, AM, 18.77, 0.093000, 741.78, 157.47, 269.20
J1503-2207, 15 03 54.0, -22 07 11, NL, AM, 16.07, 0.092640, 291.22, 6.05, 6.01
J1333+1437, 13 33 09.2, +14 37 07, DN, SU, 19.05, 0.092100, 993.87, 308.38, 762.90
J2054-1940, 20 54 08.2, -19 40 27, NL, AM, 19.72, 0.092000, -1.13, 0.02, 0.02
J1625+1203, 16 25 20.3, +12 03 09, DN, SU, 20.09, 0.092000, 3908.77, 2396.39, 4682.70
J0846+3115, 08 46 16.9, +31 15 55, DN, SU, 18.45, 0.091433, 480.33, 79.23, 112.02
J1316-1513, 13 16 25.7, -15 13 13, NL, AM, 18.79, 0.091141, 1103.59, 568.26, 3047.80
J1847+5300, 18 47 02.6, +53 00 31, DN, SU, 20.37, 0.091000, 3261.44, 2261.14, 4868.80
GV Psc, 01 13 06.7, +21 52 51, DN, SU, 18.88, 0.090500, 1129.49, 290.14, 629.73
J2218+1925, 22 18 32.7, +19 25 21, DN, SU,  nan, 0.090000, nan, nan, nan
J2242-1945, 22 42 58.0, -19 45 52, NL, AM, 17.26, 0.090000, 239.67, 11.20, 12.13
J2234-0355, 22 34 18.4, -03 55 30, DN, SU,  nan, 0.088100, nan, nan, nan
J0637-2541, 06 37 47.5, -25 41 20, DN, SU, 20.44, 0.088100, 3733.28, 2347.14, 4744.42
J0939+6956, 09 39 55.7, +69 56 46, DN, SU, 19.94, 0.088000, 3170.28, 2041.26, 4834.53
J1557+1807, 15 57 20.7, +18 07 20, DN, SU, 19.50, 0.088000, 2999.59, 1763.00, 4555.17
J1623+7826, 16 23 23.4, +78 26 03, DN,   , 18.76, 0.088000, 1097.13, 388.64, 1274.61
J0038+7921, 00 38 37.5, +79 21 37, DN,   , 16.72, 0.087039, 220.86, 6.10, 6.72
J2126+2538, 21 26 24.2, +25 38 27, DN, SU, 16.49, 0.087000, 788.32, 68.12, 78.72
J2212+1601, 22 12 32.0, +16 01 40, DN, SU, 18.64, 0.087000, 597.54, 151.47, 281.77
J1331-3155, 13 31 35.2, -31 55 41, DN, SU, 19.44, 0.087000, 2931.25, 1997.98, 4795.43
J1740-2847, 17 40 09.1, -28 47 26, DN, SU, 13.99, 0.086800, 239.51, 4.47, 4.41
J0614-2725, 06 14 51.7, -27 25 35, NL, IP, 18.90, 0.086800, 3352.65, 1910.76, 4283.41
J1743-0429, 17 43 20.3, -04 29 57, NL, AM, 18.97, 0.086600, 1175.24, 421.54, 1579.91
J0009-1210, 00 09 38.2, -12 10 16, DN, SU, 18.73, 0.086400, -10.57, 0.02, 0.02
J1751-2929#1, 17 51 29.1, -29 29 24, DN, SU,  nan, 0.086200, nan, nan, nan
J0959-1601, 09 59 26.5, -16 01 47, DN, SU, 18.97, 0.086000, 951.90, 128.33, 174.77
J1047-6041, 10 47 57.2, -60 41 23, DN, SU, 19.30, 0.086000, 1705.78, 1120.50, 4088.54
