Nome_RK, RA_RK, DEC_RK, Nome_DS, RA_DS, DEC_DS
FH UMa,  10 47 09.9,  +63 35 14,  FH UMa,  10 47 09.93,  +63 35 13.1
GG Leo,  10 15 34.7,  +09 04 42,  GG Leo,  10 15 34.67,  +09 04 42.0
V2176 Cyg,  19 27 11.6,  +54 17 52,  V2176 Cyg,  19 27 11.72,  +54 17 50.9
EV UMa,  13 07 53.9,  +53 51 30,  EV UMa,  13 07 53.87,  +53 51 30.6
LL And,  00 41 51.5,  +26 37 21,  LL And,  00 41 51.46,  +26 37 21.3
SV Ari,  03 25 03.4,  +19 49 53,  SV Ari,  03 25 03.34,  +19 49 52.9
V358 Lyr,  18 59 33.0,  +42 24 12,  V358 Lyr,  18 59 32.95,  +42 24 12.2
V844 Her,  16 25 01.7,  +39 09 27,  V844 Her,  16 25 01.75,  +39 09 26.4
DI UMa,  09 12 16.2,  +50 53 55,  DI UMa,  09 12 16.19,  +50 53 53.9
BW Scl,  23 53 00.7,  -38 51 46,  BW Scl,  23 53 00.82,  -38 51 46.0
PR Her,  18 08 04.4,  +38 46 17,  PR Her,  18 08 04.45,  +38 46 17.5
V4738 Sgr,  20 22 37.5,  -39 54 13,  V4738 Sgr,  20 22 37.53,  -39 54 12.8
CV Hyi,  01 32 42.0,  -65 54 32,  CV Hyi,  01 32 42.07,  -65 54 32.5
UW Tri,  02 45 17.3,  +33 31 26,  UW Tri,  02 45 17.29,  +33 31 26.3
GW Lib,  15 19 55.5,  -25 00 25,  GW Lib,  15 19 55.43,  -25 00 25.3
V574 Pup,  07 41 53.6,  -27 06 38,  V574 Pup,  07 41 53.56,  -27 06 38.1
V396 Hya,  13 12 46.9,  -23 21 31,  V396 Hya,  13 12 46.44,  -23 21 32.7
EI Psc,  23 29 54.3,  +06 28 11,  EI Psc,  23 29 54.21,  +06 28 11.6
V485 Cen,  12 57 23.3,  -33 12 07,  V485 Cen,  12 57 23.22,  -33 12 05.6
GP Com,  13 05 42.9,  +18 01 03,  GP Com,  13 05 42.41,  +18 01 04.0
CP Eri,  03 10 32.8,  -09 45 05,  CP Eri,  03 10 32.75,  -09 45 06.1
V803 Cen,  13 23 44.5,  -41 44 30,  V803 Cen,  13 23 44.54,  -41 44 29.7
KL Dra,  19 24 38.3,  +59 41 47,  KL Dra,  19 24 38.1,  +59 41 46.
CR Boo,  13 48 55.3,  +07 57 35,  CR Boo,  13 48 55.22,  +07 57 35.7
HP Lib,  15 35 53.1,  -14 13 12,  HP Lib,  15 35 53.10,  -14 13 12.1
AM CVn,  12 34 54.6,  +37 37 43,  AM CVn,  12 34 54.63,  +37 37 44.2
ES Cet,  02 00 52.2,  -09 24 32,  ES Cet,  02 00 52.24,  -09 24 31.6
V407 Vul,  19 14 26.1,  +24 56 43,  V407 Vul,  19 14 26.07,  +24 56 43.3
J2044-0459,  20 44 48.9,  -04 59 29,  Aqr,  20 44 48.92,  -04 59 28.8
AKO 9,  00 24 04.8,  -72 04 55,  Tuc,  00 24 03.66,  -72 05 04.5
V2731 Oph,  17 30 21.9,  -05 59 32,  Oph,  17 30 21.90,  -05 59 32.1
V479 And,  00 18 56.9,  +34 54 44,  And,  00 18 56.93,  +34 54 44.3
J1951+3716,  19 51 47.5,  +37 16 48,  Cyg,  19 51 47.49,  +37 16 47.8
NGC 6397-CV1,  17 40 41.6,  -53 40 19,  Ara,  17 40 40.93,  -53 40 25.2
0928+5004,  09 32 14.9,  +49 50 54,  UMa6,  09 32 14.82,  +49 50 54.8
NY Lup,  15 48 14.6,  -45 28 40,  Lup,  15 48 14.59,  -45 28 40.5
J2256-2743,  22 56 47.8,  -27 43 25,  PsA,  22 56 47.85,  -27 43 25.1
J1836-2354,  18 36 24.7,  -23 54 36,  Sgr,  18 36 24.66,  -23 54 35.5
J1413-6520,  14 13 12.2,  -65 20 14,  Cir,  14 13 12.3,  -65 20 13.0
J2133+5107,  21 33 43.7,  +51 07 25,  Cyg,  21 33 43.65,  +51 07 24.5
FH Lyn,  08 13 21.9,  +45 28 10,  Lyn,  08 13 21.92,  +45 28 09.4
2347-3144,  23 50 30.5,  -31 27 34,  Scl,  23 50 30.62,  -31 27 33.6
LY UMa,  10 48 18.0,  +52 18 30,  UMa5,  10 48 18.02,  +52 18 29.8
NGC 104-W2,  00 24 15.6,  -72 04 36,  Tuc,  00 24 15.63,  -72 04 36.3
M 5-V101,  15 18 14.5,  +02 05 35,  Ser,  15 18 14.46,  +02 05 35.2
NGC 104-W1,  00 24 16.7,  -72 04 27,  Tuc,  00 24 15.63,  -72 04 36.3
NGC 6397-CV6,  17 40 49.0,  -53 39 49,  Ara,  17 40 48.95,  -53 39 48.9
DM Cap,  21 54 11.1,  -09 01 22,  Cap,  21 54 11.13,  -09 01 21.7
NGC 104-W120,  00 24 10.8,  -72 06 20,  Tuc,  00 24 10.81,  -72 06 19.9
NGC 6752-CV1,  19 10 52.1,  -59 58 01,  Pav,  19 10 51.94,  -59 58 01.5
J0816+4530,  08 16 10.8,  +45 30 10,  Lyn,  08 16 10.83,  +45 30 10.2
J0900+4301,  09 00 16.6,  +43 01 18,  Lyn,  09 00 16.56,  +43 01 18.2
V495 Hya,  08 44 00.1,  +02 39 19,  Hya,  08 44 00.10,  +02 39 19.3
J0808+3131,  08 08 46.2,  +31 31 06,  Cnc,  08 08 46.19,  +31 31 06.0
J0911+0841,  09 11 27.4,  +08 41 41,  Cnc,  09 11 27.36,  +08 41 40.7
MU Cam,  06 25 16.2,  +73 34 40,  Cam,  06 25 16.18,  +73 34 39.2
NGC 104-CV3,  00 24 06.2,  -72 04 43,  Tuc,  00 24 04.94,  -72 04 46.6
HM Leo,  09 38 37.0,  +07 14 55,  Leo7,  09 38 36.98,  +07 14 55.1
J2047+0000,  20 47 20.8,  +00 00 08,  Aqr,  20 47 20.76,  +00 00 07.7
HY Leo,  09 46 34.5,  +13 50 58,  Leo,  09 46 34.5,  +13 50 58.1
V1323 Her,  18 03 39.7,  +40 12 21,  Her,  18 03 39.67,  +40 12 20.6
J0649-0737,  06 49 50.8,  -07 37 41,  Mon,  06 49 50.88,  -07 37 41.7
MQ Dra,  15 53 31.1,  +55 16 15,  Dra,  15 53 31.11,  +55 16 14.5
V418 Gem,  07 04 08.7,  +26 25 11,  Gem,  07 04 08.67,  +26 25 10.9
V405 Peg,  23 09 49.2,  +21 35 18,  Peg,  23 09 49.17,  +21 35 17.7
NGC 104-W15,  00 24 08.3,  -72 05 00,  Tuc,  00 24 07.92,  -72 04 54.8
J2048+0050,  20 48 27.9,  +00 50 09,  Aqr,  20 48 27.91,  +00 50 08.9
LT Eri,  04 07 14.8,  -06 44 25,  Eri,  04 07 14.78,  -06 44 25.2
NGC 6752-CX1,  19 10 51.1,  -59 59 12,  Pav,  19 10 51.20,  -59 59 12.8
0139+0559,  01 41 40.0,  +06 14 37,  Psc,  01 41 39.92,  +06 14 37.4
0922+1333,  09 24 56.0,  +13 20 53,  Leo,  09 24 55.94,  +13 20 52.4
V1033 Cas,  00 22 57.6,  +61 41 08,  Cas,  00 22 57.63,  +61 41 07.8
J0153+7446,  01 53 20.9,  +74 46 22,  Cas,  01 53 20.76,  +74 46 22.2
Lanning 386,  21 08 34.0,  +39 05 35,  Cyg,  21 08 33.95,  +39 05 35.1
0229+8016,  02 35 58.3,  +80 29 44,  Cep,  02 35 58.18,  +80 29 44.5
J2337+4308,  23 37 59.2,  +43 08 52,  And,  23 37 59.22,  +43 08 50.8
J0812+1911,  08 12 56.8,  +19 11 58,  Cnc,  08 12 56.85,  +19 11 57.8
J1446+0253,  14 47 00.0,  +02 53 30,  Vir,  14 46 59.96,  +02 53 30.4
0642+5049,  06 46 19.6,  +50 45 48,  Lyn,  06 46 19.60,  +50 45 48.0
J1424-0227,  14 24 39.0,  -02 27 39,  Vir,  14 24 38.93,  -02 27 39.3
2117-5417,  21 21 26.6,  -54 04 34,  Ind,  21 21 26.53,  -54 04 34.7
LD 317,  23 44 57.4,  +43 31 22,  And,  23 44 57.51,  +43 31 22.3
0758+4019,  08 02 15.3,  +40 10 46,  Lyn,  08 02 15.34,  +40 10 47.0
NGC 104-CV1,  00 24 04.3,  -72 04 58,  Tuc,  00 24 03.07,  -72 04 47.5
NGC 6752-CV2,  19 10 52.0,  -59 58 56,  Pav,  19 10 51.20,  -59 59 12.8
J0749-0549,  07 49 10.4,  -05 49 26,  Mon,  07 49 10.40,  -05 49 25.6
V1294 Tau,  04 00 37.3,  +06 22 46,  Tau2,  04 00 37.23,  +06 22 46.3
0220+0603,  02 23 01.6,  +06 16 52,  Cet,  02 23 01.6,  +06 16 51.7
0455+8315,  05 06 48.5,  +83 19 23,  Cep,  05 06 48.29,  +83 19 23.1
VZ Sex,  09 44 31.7,  +03 58 05,  Sex,  09 44 31.70,  +03 58 05.6
1813+6122,  18 14 29.6,  +61 23 35,  Dra,  18 14 29.83,  +61 23 34.5
V524 Hya,  09 20 09.5,  +00 42 45,  Hya,  09 20 09.55,  +00 42 45.0
0506+7725,  05 13 36.5,  +77 28 44,  Cam,  05 13 36.54,  +77 28 42.8
CH CrB,  16 07 45.0,  +36 23 21,  CrB,  16 07 45.02,  +36 23 20.7
V358 Aqr,  23 16 03.6,  -05 27 08,  Aqr5,  23 16 03.65,  -05 27 08.7
J1007-2017,  10 07 34.6,  -20 17 33,  Hya,  10 07 34.64,  -20 17 32.4
V647 Aur,  06 36 32.6,  +35 35 43,  Aur,  06 36 32.55,  +35 35 43.3
EV Lyn,  07 54 43.0,  +50 07 29,  Lyn,  07 54 43.01,  +50 07 29.2
J1659+1927,  16 59 51.7,  +19 27 46,  Her,  16 59 51.69,  +19 27 45.6
J1422-0221,  14 22 56.4,  -02 21 07,  Vir,  14 22 56.32,  -02 21 08.0
OZ Dra,  13 27 23.4,  +65 28 54,  Dra,  13 27 23.38,  +65 28 54.4
V482 Cam,  07 33 41.4,  +67 32 16,  Cam,  07 33 41.33,  +67 32 15.8
J0809+3814,  08 09 08.4,  +38 14 06,  Lyn,  08 09 08.40,  +38 14 06.3
J0837+3830,  08 37 51.0,  +38 30 12,  Lyn,  08 37 51.00,  +38 30 12.5
V519 Ser,  16 10 07.5,  +03 52 33,  Ser,  16 10 07.51,  +03 52 33.0
J0759+1914,  07 59 39.8,  +19 14 17,  Cnc,  07 59 39.79,  +19 14 17.3
CW Hyi,  02 30 51.1,  -68 42 05,  Hyi,  02 30 51.08,  -68 42 05.4
2141+1231,  21 43 54.6,  +12 44 50,  Peg,  21 43 54.60,  +12 44 57.8
J0813+2813,  08 13 52.0,  +28 13 17,  Cnc,  08 13 52.02,  +28 13 17.3
V1084 Her,  16 43 45.7,  +34 02 40,  Her,  16 43 45.70,  +34 02 39.6
NGC 104-W8,  00 24 10.5,  -72 04 26,  Tuc,  00 24 10.05,  -72 04 41.2
V5627 Sgr,  18 01 56.3,  -27 22 56,  Sgr,  18 01 56.22,  -27 22 55.2
EU Lyn,  07 52 40.5,  +36 28 23,  Lyn,  07 52 40.45,  +36 28 23.2
PZ Vir,  13 24 11.6,  +03 20 51,  Vir,  13 24 11.57,  +03 20 50.5
CS Ind,  21 59 54.6,  -68 50 36,  Ind,  21 59 54.6,  -68 50 36.0
J0524+4244,  05 24 30.5,  +42 44 51,  Aur,  05 24 30.48,  +42 44 50.2
AP CrB,  15 54 12.3,  +27 21 52,  CrB,  15 54 12.34,  +27 21 52.4
V654 Aur,  07 29 10.7,  +36 58 38,  Aur,  07 29 10.68,  +36 58 38.2
V434 Gem,  07 48 13.5,  +29 05 09,  Gem,  07 48 13.54,  +29 05 09.2
V1239 Her,  17 02 13.3,  +32 29 54,  Her,  17 02 13.25,  +32 29 54.2
J0859+0536,  08 59 09.2,  +05 36 55,  Hya,  08 59 09.18,  +05 36 54.5
V351 UMa,  12 44 26.3,  +61 35 15,  UMa,  12 44 26.25,  +61 35 14.6
NGC 104-W71,  00 24 10.6,  -72 05 16,  Tuc,  00 24 10.38,  -72 05 17.2
V1189 Her,  16 29 36.5,  +26 35 20,  Her,  16 29 36.53,  +26 35 19.6
J1536+3328,  15 36 34.4,  +33 28 52,  CrB,  15 36 34.42,  +33 28 51.9
HU Leo,  09 24 44.5,  +08 01 51,  Leo,  09 24 44.48,  +08 01 51.0
MT Dra,  18 46 58.9,  +55 38 29,  Dra,  18 46 58.83,  +55 38 29.1
BT CrB,  15 56 56.9,  +35 23 37,  CrB,  15 56 56.92,  +35 23 36.6
V1258 Cen,  13 00 29.1,  -30 52 57,  Cen,  13 00 29.07,  -30 52 56.6
J2234+0041,  22 34 39.9,  +00 41 27,  Aqr,  22 34 39.93,  +00 41 27.3
J0738+2855,  07 38 17.8,  +28 55 20,  Gem,  07 38 17.74,  +28 55 19.7
V713 Cep,  20 46 38.7,  +60 38 04,  Cep,  20 46 38.66,  +60 38 03.6
NGC 6656-CV2,  18 36 02.7,  -23 55 25,  Sgr,  18 36 02.72,  -23 55 24.6
J1805-2743,  18 05 07.1,  -27 43 09,  Sgr,  18 05 07.12,  -27 43 09.1
QU Aqr,  21 00 14.1,  +00 44 46,  Aqr,  21 00 14.11,  +00 44 46.0
MT Com,  12 55 10.7,  +26 42 26,  Com,  12 55 10.56,  +26 42 26.9
J2258-0949,  22 58 31.2,  -09 49 32,  Aqr,  22 58 31.18,  -09 49 31.7
BG Ari,  01 51 51.9,  +14 00 47,  Ari,  01 51 51.87,  +14 00 47.2
J1013+4558,  10 13 23.6,  +45 58 59,  UMa,  10 13 23.64,  +45 58 58.9
J1504+0847,  15 04 41.8,  +08 47 53,  Boo1,  15 04 41.76,  +08 47 52.7
V1237 Her,  17 00 53.3,  +40 03 58,  Her,  17 00 53.30,  +40 03 57.7
AR Pic,  05 49 45.4,  -49 21 56,  Pic,  05 49 45.4,  -49 21 56.
V493 Ser,  15 56 44.3,  -00 09 51,  Ser,  15 56 44.23,  -00 09 50.3
V728 CrA,  17 59 16.5,  -42 35 07,  Sgr,  17 59 16.52,  -42 35 07.0
V489 Ser,  15 55 32.0,  -00 10 55,  Ser,  15 55 31.99,  -00 10 55.0
NSV 14652,  23 38 48.7,  +28 19 55,  Peg,  23 38 48.67,  +28 19 55.1
FR Lyn,  08 54 14.0,  +39 05 37,  Lyn,  08 54 14.02,  +39 05 37.3
AX For,  02 19 28.0,  -30 45 46,  For,  02 19 27.97,  -30 45 45.9
PU UMa,  09 01 03.9,  +48 09 11,  UMa,  09 01 03.94,  +48 09 11.1
HY Psc,  23 03 51.7,  +01 06 52,  Psc,  23 03 51.63,  +01 06 51.2
J1730+6247,  17 30 08.3,  +62 47 55,  Dra,  17 30 08.36,  +62 47 54.5
V342 Cam,  04 23 32.9,  +74 52 50,  Cam,  04 23 32.80,  +74 52 50.3
J0839+2828,  08 39 31.4,  +28 28 24,  Cnc,  08 39 31.35,  +28 28 24.0
QT Aqr,  20 59 14.9,  -06 12 20,  Aqr,  20 59 14.87,  -06 12 20.5
AY For,  02 42 34.8,  -28 02 44,  For,  02 42 34.79,  -28 02 43.7
J1002-1925,  10 02 11.7,  -19 25 38,  Hya,  10 02 11.71,  -19 25 37.4
DT Oct,  18 40 52.6,  -83 43 10,  Oct,  18 40 52.40,  -83 43 09.6
NGC 104-W21,  00 24 07.6,  -72 05 27,  Tuc,  00 24 06.80,  -72 05 10.2
J0953+1458,  09 53 08.1,  +14 58 36,  Leo,  09 53 08.17,  +14 58 36.1
BB Ari,  02 44 57.7,  +27 31 09,  Ari,  02 44 57.78,  +27 31 09.3
QV Aqr,  21 04 50.0,  +01 05 46,  Aqr,  21 04 49.95,  +01 05 45.9
GD 552,  22 50 39.9,  +63 28 38,  Cep1,  22 50 39.93,  +63 28 38.3
J0803+2516,  08 03 03.9,  +25 16 27,  Cnc,  08 03 03.90,  +25 16 27.0
J0838+4910,  08 38 45.2,  +49 10 56,  UMa,  08 38 45.23,  +49 10 55.4
V379 Tel,  19 28 32.5,  -50 01 35,  Tel,  19 28 32.6,  -50 01 34.
EG Lyn,  08 20 51.0,  +49 34 31,  Lyn,  08 20 51.07,  +49 34 31.7
J1628+2402,  16 28 30.9,  +24 02 59,  Her,  16 28 30.89,  +24 02 59.1
J1132+6249,  11 32 15.5,  +62 49 01,  UMa,  11 32 15.49,  +62 49 00.5
J1216+0520,  12 16 07.0,  +05 20 14,  Vir,  12 16 07.03,  +05 20 13.9
J1429+4145,  14 29 55.9,  +41 45 17,  Boo,  14 29 55.86,  +41 45 16.8
J1823-3021#2,  18 23 40.8,  -30 21 35,  Sgr,  18 23 40.81,  -30 21 35.0
J1658+1847,  16 58 37.7,  +18 47 27,  Her,  16 58 37.70,  +18 47 27.4
NSV 4838,  10 23 20.2,  +44 05 09,  UMa8,  10 23 20.28,  +44 05 09.9
NGC 104-W34,  00 24 05.1,  -72 04 47,  Tuc,  00 24 03.98,  -72 04 57.9
V2690 Oph,  16 37 22.2,  -00 19 57,  Oph,  16 37 22.22,  -00 19 57.3
V1229 Her,  16 56 58.1,  +21 21 39,  Her,  16 56 58.13,  +21 21 39.3
V1240 Her,  17 02 44.1,  +22 35 48,  Her,  17 02 44.09,  +22 35 47.9
J1146+6759,  11 46 28.8,  +67 59 10,  Dra,  11 46 28.80,  +67 59 09.6
BS Tri,  02 09 29.8,  +28 32 29,  Tri,  02 09 29.80,  +28 32 29.3
BC Dor,  05 46 15.0,  -68 35 24,  Dor,  05 46 15.19,  -68 35 24.0
J0932+4725,  09 32 49.6,  +47 25 23,  UMa,  09 32 49.57,  +47 25 23.0
KY Eri,  03 10 51.7,  -07 55 00,  Eri,  03 10 51.67,  -07 55 00.3
HP Cet,  02 33 22.6,  +00 51 00,  Cet,  02 33 22.61,  +00 50 59.6
FL Lyn,  08 24 09.7,  +49 31 24,  Lyn,  08 24 09.73,  +49 31 24.4
J1100+1315,  11 00 14.7,  +13 15 52,  Leo,  11 00 14.72,  +13 15 52.1
J0922+3307,  09 22 29.3,  +33 07 44,  Lyn,  09 22 29.26,  +33 07 43.6
YY Sex,  10 39 47.0,  -05 06 58,  Sex,  10 39 46.99,  -05 06 58.3
DI Phe,  23 54 20.4,  -47 00 20,  Phe,  23 54 20.46,  -47 00 19.7
PW Aqr,  20 50 17.8,  -05 36 27,  Aqr,  20 50 17.84,  -05 36 26.8
J0746+1734,  07 46 40.6,  +17 34 13,  Gem,  07 46 40.62,  +17 34 12.8
J1538+5123,  15 38 17.4,  +51 23 38,  Boo,  15 38 17.34,  +51 23 38.0
V476 Peg,  21 54 33.7,  +35 50 17,  Peg,  21 54 33.66,  +35 50 17.4
J0039+0054,  00 39 41.1,  +00 54 28,  Cet,  00 39 41.07,  +00 54 27.7
V453 Nor,  16 00 47.5,  -48 46 05,  Nor,  16 00 47.43,  -48 46 07.6
QZ Lib,  15 36 16.0,  -08 39 07,  Lib,  15 36 16.00,  -08 39 07.6
MR UMa,  11 31 22.4,  +43 22 38,  UMa,  11 31 23.,  +43 22 38.
J1125-0016,  11 25 55.7,  -00 16 38,  Leo,  11 25 55.72,  -00 16 38.6
V1227 Her,  16 53 59.1,  +20 10 10,  Her,  16 53 59.06,  +20 10 10.4
J1227+5139,  12 27 40.8,  +51 39 25,  CVn,  12 27 40.83,  +51 39 25.0
V5662 Sgr,  20 05 51.2,  -29 34 58,  Sgr,  20 05 51.12,  -29 34 59.9
J1745-2905,  17 45 32.7,  -29 05 52,  Sgr,  17 45 32.7,  -29 05 52.
DT Pyx,  09 18 58.5,  -29 42 37,  Pyx,  09 18 58.50,  -29 42 37.0
J1050-1404,  10 50 11.0,  -14 04 37,  Hya,  10 50 10.80,  -14 04 36.9
J1025-1542,  10 25 22.0,  -15 42 24,  Hya,  10 25 22.,  -15 42 24.
J2048-0610,  20 48 17.9,  -06 10 45,  Aqr,  20 48 17.85,  -06 10 44.8
FL Cet,  01 55 43.4,  +00 28 07,  Cet,  01 55 43.44,  +00 28 06.4
IW Eri,  04 25 55.2,  -19 45 30,  Eri,  04 25 55.18,  -19 45 30.4
Lanning 420,  22 02 43.1,  +59 03 21,  Cep,  22 02 43.06,  +59 03 20.3
V521 Peg,  22 21 44.8,  +18 40 08,  Peg,  22 21 44.79,  +18 40 08.3
J0904+0355,  09 04 03.5,  +03 55 01,  Hya,  09 04 03.49,  +03 55 01.2
J0425-5714,  04 25 38.7,  -57 14 37,  Dor,  04 25 38.64,  -57 14 36.8
J0903+3300,  09 03 50.7,  +33 00 36,  Lyn,  09 03 50.73,  +33 00 36.1
EZ Lyn,  08 04 34.2,  +51 03 49,  Lyn,  08 04 34.20,  +51 03 49.2
J1202+4503,  12 02 31.0,  +45 03 49,  UMa,  12 02 31.01,  +45 03 49.1
NZ Boo,  15 02 41.0,  +33 34 24,  Boo,  15 02 40.98,  +33 34 23.9
V498 Vul,  19 59 51.3,  +22 42 32,  Vul,  19 59 51.29,  +22 42 32.3
QZ Vir,  11 38 27.0,  +03 22 08,  T Leo,  11 38 26.83,  +03 22 07.1
OV Dra,  12 50 23.9,  +66 55 25,  Dra,  12 50 23.84,  +66 55 25.4
BM CrB,  15 41 04.7,  +36 02 53,  CrB,  15 41 04.67,  +36 02 52.9
V386 Ser,  16 10 33.7,  -01 02 22,  Ser,  16 10 33.61,  -01 02 22.9
FZ Cet,  01 42 25.3,  -22 15 58,  Cet,  01 42 25.28,  -22 15 58.3
V598 Peg,  23 33 25.9,  +15 22 22,  Peg,  23 33 25.92,  +15 22 22.2
J2205+1155,  22 05 54.0,  +11 55 54,  Peg,  22 05 53.98,  +11 55 53.7
J2224-2924,  22 24 16.3,  -29 24 22,  PsA,  22 24 16.26,  -29 24 21.7
V355 UMa,  13 39 41.1,  +48 47 27,  UMa,  13 39 41.12,  +48 47 27.5
J0043-0037,  00 43 35.1,  -00 37 30,  Cet,  00 43 35.14,  -00 37 29.8
J1035+0551,  10 35 33.0,  +05 51 58,  Sex,  10 35 33.03,  +05 51 58.4
J1304+0103,  13 04 41.8,  +01 03 31,  Vir,  13 04 41.76,  +01 03 30.8
J1501+5501,  15 01 37.2,  +55 01 23,  Dra,  15 01 37.23,  +55 01 23.3
V1108 Her,  18 39 26.2,  +26 04 10,  Her,  18 39 26.16,  +26 04 10.0
GY Cet,  01 31 32.4,  -09 01 22,  Cet,  01 31 32.39,  -09 01 22.3
FL Psc,  00 25 11.1,  +12 17 12,  Psc,  00 25 11.07,  +12 17 12.1
LV Cnc,  09 19 45.1,  +08 57 10,  Cnc,  09 19 45.11,  +08 57 10.1
V455 And,  23 34 01.6,  +39 21 43,  And,  23 34 01.45,  +39 21 41.0
V391 Cam,  05 32 33.9,  +62 47 52,  Cam,  05 32 33.87,  +62 47 52.1
GS Cet,  00 50 50.9,  +00 09 13,  Cet,  00 50 50.88,  +00 09 12.7
VV Equ,  21 16 05.4,  +11 34 08,  Equ,  21 16 05.43,  +11 34 07.5
V406 Vir,  12 38 13.7,  -03 39 33,  Vir,  12 38 13.74,  -03 39 32.9
FI Cet,  01 51 18.6,  -02 23 01,  Cet,  01 51 18.57,  -02 23 00.7
V1247 Her,  17 11 45.1,  +30 13 20,  Her,  17 11 45.08,  +30 13 20.1
J0154-5947,  01 54 01.0,  -59 47 49,  Hyi,  01 54 01.0,  -59 47 49.
GZ Cet,  01 37 01.1,  -09 12 35,  Cet,  01 37 01.07,  -09 12 34.8
EQ Lyn,  07 45 31.9,  +45 38 30,  Lyn,  07 45 31.92,  +45 38 29.6
HO Cet,  02 33 21.4,  -10 47 04,  Cet,  02 33 21.41,  -10 47 04.1
V572 And,  02 22 16.4,  +41 23 00,  And,  02 22 16.4,  +41 22 59.9
J1457+5148,  14 57 58.2,  +51 48 08,  Boo,  14 57 58.21,  +51 48 07.9
OV Boo,  15 07 22.3,  +52 30 40,  Boo,  15 07 22.33,  +52 30 39.8
V418 Ser,  15 14 53.6,  +02 09 35,  Ser,  15 14 53.67,  +02 09 34.8
J1552+3201,  15 52 52.5,  +32 01 51,  CrB,  15 52 52.48,  +32 01 50.9
J0354-1652,  03 54 10.3,  -16 52 50,  Eri,  03 54 10.30,  -16 52 50.2
J1411+4812,  14 11 18.3,  +48 12 58,  Boo,  14 11 18.31,  +48 12 57.7
J0129+3842,  01 29 40.1,  +38 42 10,  And,  01 29 40.06,  +38 42 10.4
J1240-0159,  12 40 58.0,  -01 59 19,  Vir,  12 40 58.03,  -01 59 19.3
V558 Vir,  14 27 01.6,  -01 23 10,  Vir,  14 27 01.59,  -01 23 10.3
V406 Hya,  09 05 54.8,  -05 36 09,  Hya,  09 05 54.79,  -05 36 08.6
YZ LMi,  09 26 38.7,  +36 24 02,  LMi,  09 26 38.72,  +36 24 02.4
J1832-0840,  18 32 19.3,  -08 40 30,  Sct,  18 32 20.,  -08 40 30.
HM Cnc,  08 06 23.0,  +15 27 31,  Cnc,  08 06 22.97,  +15 27 31.4
